Gene	BJ(Fibroblast)	BJ-OKS-iM#2	BJ-OKS-iM#21	BJ-OKS-iG#2	BJ-OKS-iG#5	HUES9
A1BG	32	9	8	2	4	7
A1BGAS	35.83524317	24.14374694	22.78256935	12.11323492	11.0742036	17.23952584
A1CF	1	1	0	1	0	0
A2LD1	15	0	1	1	0	1
A2M	318.7828531	13.52881727	11.15186127	3.393152816	5.762007111	8.889373885
A2ML1	8.591231325	8.809340965	19.0641298	18.95968815	10.27840469	25.02318674
A4GALT	233	101	109	51	39	164
A4GNT	0	0	0	0	0	0
AAA1	12.39459707	4.327380953	4.38546176	5.78823203	4.843528693	5.817460318
AAAS	2025.166667	1312.5	1350.785714	977	622	1171
AACS	29.58333333	10.5	14.5	8	7	11.16666667
AACSL	5.142857143	2	0.5	2	5	2.5
AADAC	13.53433431	3.45767155	8.111910419	4.397544832	4.200844783	7.108024136
AADACL2	0	0	0	0	0	0
AADACL3	13	107	182	154	106	22
AADACL4	0	0	0	0	0	0
AADAT	104.2619048	69.98431372	98.3	71	47.30769231	65.35
AAGAB	52.11531385	27.33181818	26.71515152	19.56428571	16.51025641	14.31881404
AAK1	266.7480819	85.51248848	75.65694896	67.71959859	56.60606679	55.66440334
AAMP	87.11994135	67.4694759	66.82918195	54.32688589	27.36426628	37.21988569
AANAT	24.6459596	37.76262627	42.57395002	27.76053391	18.50505051	33.18131313
AARS	13	26	28	23	10	22
AARS2	43.83788188	31.81879129	23.14561815	23.46964742	15.67027042	25.2820623
AARSD1	108.1666667	105	83.33333333	63	51	70.66666667
AASDH	52.4	33	47.5	36.2	30	40.1
AASDHPPT	20.61507936	13.80263158	8.833333333	9.333333334	8.30952381	7.783333333
AASS	402.2381276	1283.740079	1737.081624	1640.957852	846.9162088	1223.577374
AATF	237.6130268	170.8405913	145.8461975	102.5233543	81.04076097	109.8137608
AATK	4.005128205	2.196305419	1.627789046	0.585746606	1.576923077	0.742685963
ABAT	5	0	5	4	1	1
ABCA1	3	2	3	0	1	0
ABCA10	1.5	2.5	1	1.5	0	1
ABCA11P	1.5	1.57030303	3.252525253	2.5	0.03030303	0
ABCA12	0	0	2	0	0	0
ABCA13	37.74293308	15.67554113	18.21683219	19.62380786	10.77811448	18.21226361
ABCA17P	0	0	0	0	0	0
ABCA2	48.83333334	7.8	14.66666667	2.333333334	5	7
ABCA3	10	3	7	1	2	7
ABCA4	0	0	0	0	0	0
ABCA5	13.57142857	2	0	0	0	0.071428571
ABCA6	2	0	0	0	0	0
ABCA7	2	4	4	7	1	5
ABCA8	1.755555556	0	1	0	0	0.333333334
ABCA9	28.67063817	23.47991691	44.19173027	30.55069573	13.29962919	27.70514691
ABCB1	0.25	1	0	1	0	0
ABCB10	33	18	10	17	12	15
ABCB11	0	0	0	0	0	0
ABCB4	35.75	3	2	3	2	2
ABCB5	4.477315169	1.779866333	4.067216117	3.522745675	2.483060418	5.068452746
ABCB6	14.70800866	10.19444445	5.842857143	5.390909091	4.296703297	11.43181818
ABCB7	34.19444445	31.38452381	39.35781441	34.82777778	21.85	20.79166667
ABCB8	10	1	2	2	1	1
ABCB9	18.7	11.25	15.6	14.85	16.55	20.3
ABCC1	46	14	35	18	10	13
ABCC10	80.42655781	31.85543981	36.78118122	29.21102771	23.96011558	28.68290957
ABCC11	0	0	0	0	0	0
ABCC12	0	0	2	0	0	0
ABCC13	21.22839623	15.78891688	14.78013913	13.60379424	9.727554755	13.81670068
ABCC2	2	2	6	7	6	5
ABCC3	59.67125269	15.46915418	14.40689553	8.117122814	2.697777778	4.818508225
ABCC4	112	55.08333333	61.25	39	21	32
ABCC5	69.94037051	40.72159039	51.20199741	45.05462486	40.20910146	39.59254333
ABCC6	2	0	0.5	0.5	0.5	2
ABCC6P1	50.73168498	34.23809524	34.25311355	33.95833333	28.98809523	26
ABCC6P2	38.60981799	25.72138823	30.44350454	23.31459007	14.02854784	19.23614217
ABCC8	0	0	0	0	0	1
ABCC9	682.3812002	903.50225	1054.822947	1118.174073	564.1215372	756.7520289
ABCD1	535.0368817	88.34903114	80.25002494	54.83036786	40.4046994	68.32633795
ABCD2	0	0	0	0	0	0
ABCD3	65.07424242	41.74027778	45.89285715	21.86666667	19.2	20.49166667
ABCD4	19	20	26	22	5	16
ABCE1	179	182	228	188	103	119
ABCF1	1106.133333	1066.5	1309	938.5	650	847
ABCF2	180.0899025	119.175388	102.4073616	58.44826464	49.65032126	84.87909858
ABCF3	377.9864469	117.2301587	119.5213675	108.2019231	88.45833333	110.9797009
ABCG1	60.00761596	35.46894165	42.13241079	27.23213924	25.15732946	32.53458027
ABCG2	0	2	2	2	4	0
ABCG4	21.41964203	12.2651978	13.01209762	10.56702089	10.54110057	10.20454263
ABCG5	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0
ABHD1	85.76756703	85.71557159	111.080992	66.6485797	64.40656797	80.09159589
ABHD10	37.66694052	15.70447943	13.7959707	9.233699634	3.392156862	8.159482759
ABHD11	13714.83056	14961.28828	13946.71803	13620.47923	12023.12993	9889.059389
ABHD12	196.7080207	65.7100139	84.10547968	65.08664866	36.64032634	64.7146092
ABHD12B	12.61515152	28.94126984	77.33506493	69.27924297	29.92380952	21.24790765
ABHD13	5	2	2	2	2	0
ABHD14A	19	3	0	0	1	0
ABHD14B	19	5	4	1	0	0
ABHD15	22.64076567	6.91567599	6.818932865	4.026668212	1.897290618	4.565972405
ABHD2	130.0732515	44.84628827	43.70457073	50.54113055	19.38711721	33.43897846
ABHD3	9.195103304	3.853305073	2.382322827	2.070482295	0.767806267	1.088738059
ABHD4	481.2572956	219.0055584	327.7720464	260.7983568	152.1379634	149.6167158
ABHD5	471.3526838	142.3993358	91.39642857	86.88055556	55.11428571	87.31993464
ABHD6	254.8666667	74.76666667	85	31.125	39.66666667	81.53333333
ABHD8	133.7848467	110.1749005	74.87333333	41.67424242	39.44090909	69.40370371
ABI1	224	72	83	46	43	59
ABI2	411.4708369	205.6991046	247.1396259	180.2041915	118.6616092	244.9206696
ABI3	15.53933747	10.1469697	10	10.41666667	18.72222222	8.633333333
ABI3BP	36.5	1.5	1	0.25	0.333333333	1
ABL1	19	9	11	5.222222222	7	8
ABL2	878.5763608	278.8035916	241.9196895	189.5067572	125.3624134	203.8582662
ABLIM1	14.30808081	20.88888888	21	18	7	9
ABLIM2	10.15833333	8	5.5	6.533333333	6.083333333	5.75
ABLIM3	14	0	1	0	0	1
ABO	13.05555556	14	23	19	12	60
ABP1	0	0	0	0	0	0
ABR	1619.981826	678.1650233	577.3335613	361.587492	248.6069729	437.5367851
ABRA	159.9771032	89.42858202	110.4696785	68.38618293	58.5748979	70.08077873
ABT1	37	28	31	20	13	10
ABTB1	13	0	3	2	5	4
ABTB2	36.5	15.5	21.5	9.5	4.533333333	10.33333333
ACAA1	65.60828338	38.12564102	32.5849359	15.70627828	24.46868132	31.1313366
ACAA2	763.1190476	1128.333333	1099.592857	818.5625	489.0833333	736.3928572
ACACA	459.008288	501.6404973	607.5661285	389.4319511	277.374799	519.2207191
ACACB	16	23	15	13	6	23
ACAD10	30.16666667	20	21.4	18.14285714	16	24
ACAD11	289.0814865	98.60087135	134.5237845	110.6784715	39.33611112	100.537414
ACAD8	24.5	38	27	25	18.5	23
ACAD9	797.6467263	241.593616	275.2355279	203.2051044	136.2160943	170.1527582
ACADL	6.363222458	3.30229118	5.447660788	4.308379659	4.950604439	2.450360595
ACADM	230	229	254	193	114	162
ACADS	36.95833333	18.83333333	16.08333333	9.5	7.333333333	19.58333333
ACADSB	20.23333333	8.167156862	5.707575758	4.538932806	1.472222222	4.915030743
ACADVL	57.17670586	21.66315973	12.63573791	10.71447246	10.07372742	19.42857143
ACAN	5	2	3	0	1	2
ACAP1	18	33	20	17	12	10
ACAP2	98.38333333	51.33333333	59.55252723	46.72619047	20.88333333	27.09882353
ACAP3	37.64896647	13.61751348	11.38673896	7.756869446	8.776573865	11.67992164
ACAT1	20	9	6	5	2	8
ACAT2	72.66666667	110.6666667	97.33333333	66.33333333	65.33333333	82.66666667
ACBD3	130.1428571	54.58333333	68.25	33.14285714	25	39
ACBD4	237.8082995	148.6690614	193.0879921	113.8680492	89.16050834	179.1676133
ACBD5	93	26.2	31.27272727	26	10.2	21
ACBD6	98	110	146	105	65	126
ACBD7	51.8471551	59.78954214	69.41455482	64.27646029	36.73071636	45.0216197
ACCN1	9.301017889	3.820806861	3.751610882	2.959128794	0.510025063	3.662169312
ACCN2	36	7	7	6	3	4
ACCN3	2	0	0	0	0	0
ACCN4	1.333333333	0	0	0	0	1
ACCN5	0	0	0	0	0	0
ACCS	5.235858586	2.8	2.815151515	3	2.826262627	6.672222222
ACCSL	0	0	0	0	0	0
ACD	115.2675795	70.41089466	52.49652426	33.78989899	30.05031566	34.54919786
ACE	37	3	10	6	4	8
ACE2	0	0	0	0	0	0
ACER1	0	0	0	0	0	0
ACER2	2	3	8	7	0	4
ACER3	20.41910358	10.79347597	11.98517126	11.30930546	3.646831409	9.147907647
ACHE	19.86673881	23.60555556	25.04848485	22.46666667	13.70793651	14.44444445
ACIN1	257.281746	272.363622	155.3406964	132.2329402	71.15919931	111.5569438
ACLY	1070.521052	966.3611811	944.3117611	616.882658	448.2143957	651.7117099
ACMSD	6.222048498	5.609681779	2.882963466	2.61391011	1.991959734	2.468776063
ACN9	33	80	100	76	56	55
ACO1	95	21	25	17	9	25
ACO2	59	42	33	18	20	32
ACOT1	8.5	1	3	1.5	0	0.5
ACOT11	0	0	1	1	0	2
ACOT12	1	0	0	0	0	0
ACOT13	528.4	743.1666667	1041.222222	653	396	837
ACOT2	12.5	1	4	1.5	0	0.5
ACOT4	32.63954429	12.74970611	10.07827078	5.73888411	4.785646459	7.841149271
ACOT6	0	1	0	0	0	0
ACOT7	184	231	257	205	134	172
ACOT8	14	12	8	14	7	11
ACOT9	63	63	59	44	26	46
ACOX1	149.8905879	59.16546131	41.74587424	54.32609258	30.86280704	51.35308413
ACOX2	58.26142375	21.84178483	25.47175854	16.83072618	15.91740596	10.55268756
ACOX3	90.66666667	20.66666667	22	23.66666667	25.33333333	17.66666667
ACOXL	1	1	1	1	0	1
ACP1	28.1	29.08701299	25.98701299	24.3	10.31850649	19.95422078
ACP2	70	20	11	12	12	11
ACP5	113.8315642	92.35520455	71.06498003	57.71210239	39.92739186	65.1447748
ACP6	33.90283832	42.52597261	31.67648892	30.79626801	14.44656863	25.15378695
ACPL2	8	7	7	5	3	1
ACPP	17.18516999	9.786170417	13.728462	11.1185604	5.659983495	11.18179915
ACPT	0	0	0	0	0	0
ACR	1.333333333	0.25	0.25	0	0	1
ACRBP	0	0	0	0	1	0
ACRC	4	4	1	3	3	2
ACRV1	0	0	0	0	0	0
ACSBG1	33.21336624	40.50071952	41.3807896	42.38744296	28.3058178	90.00600664
ACSBG2	0	0	0	0	0	0
ACSF2	25.28571429	4.571428572	5.714285715	3.571428572	4.571428572	6.154761905
ACSF3	7.277777778	7.388888889	17.04166667	14.24166667	3.5	5.166666667
ACSL1	7	1	3	3	0	5
ACSL3	163.6293812	98.13447085	130.4849928	86.62024854	69.38419913	75.56031745
ACSL4	50	17	19.16666667	11.66666667	7	11.66666667
ACSL5	21.5	7.571428571	10.35	7.428571429	5.583333333	10.30357143
ACSL6	0	0	0	0	0	0
ACSM1	0	1	0	0	0	0
ACSM2A	0	0.333333333	0.333333333	0.666666667	0.333333333	0
ACSM2B	0.7	0.666666667	0.666666667	1.533333333	0.666666667	0.2
ACSM3	32.96986872	25.56668343	34.68779815	10.9235631	11.43283398	20.45431416
ACSM4	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0
ACSS1	14	1	2	2	1	3
ACSS2	6	0	6	2	0	3
ACSS3	7.97275641	7.366666667	3.250000001	6.890079365	5.494444444	4.781045752
ACTA1	12.92216117	25.2	45.14285714	38.30952381	23.17692308	73.23376623
ACTA2	170.1266183	5.376996128	10.59865735	4.39	1.588994508	3.244653022
ACTB	11557.21498	4804.696878	5107.464422	3625.446123	2871.500713	4718.060505
ACTBL2	6.611111111	2.333333333	6.125	3	3.5	2
ACTC1	0.636446886	15.2	29.47619047	22.64285714	15.17692308	7.090909091
ACTG1	2953.495971	1133.583333	1827.3	1199.542857	669.3102564	804.3670996
ACTG2	227.2833333	32	99	207.8333333	63	48
ACTL6A	617.3705352	777.8276944	626.6193672	563.3919237	366.6146437	621.656733
ACTL6B	55.22399983	44.58015258	89.72154273	59.77277445	37.38131868	39.6829832
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0
ACTL8	418.4561854	253.491722	301.7456014	178.8482522	151.3134575	128.9367863
ACTL9	0	0	0	0	0	0
ACTN1	4053.028571	1203.602381	1118.114103	805.3333333	559.6785714	600.9666666
ACTN2	0	3	0	2	0	1
ACTN3	1	0	1	1	0	3
ACTN4	3552.086335	964.1894227	1270.108081	798.280303	627.8724599	949.0759379
ACTR10	135.0769231	53.17692308	66	50	33	63
ACTR1A	774	379.1666667	369	245	224	311.7
ACTR1B	82	26	17	19	13	21
ACTR2	233	80	97	71	52	54
ACTR3	836	225	233	191	117	133
ACTR3B	28	66	30	33.33333334	23	44.66666667
ACTR3BP2	0	0	0	0.666666666	0	0.333333333
ACTR3C	1.333333333	0	0	0	0	0
ACTR5	12.16666667	20.14285714	22	10	3.041666667	6.125
ACTR6	124.0549466	43.45716301	40.69105417	27.64462407	29.75359945	29.95351083
ACTR8	39	20	15	14	7	13
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACVR1	101.6586081	30.53571429	20.15079365	15.33181818	16.51190476	19.93412699
ACVR1B	4	2	3	3	2	3
ACVR1C	10.26666667	12.36363636	6.171428571	11.4	5.6	15.58787879
ACVR2A	359	404	321	286	165	313
ACVR2B	14.55833333	88.72525063	121.2963563	73.16929825	57.27348613	81.5
ACVRL1	13	1	0.074074074	0.2	0	0.4
ACY1	44	37	28	14	14	30
ACY3	1	2	2	1	0	0
ACYP1	20	25	14	10	11	21
ACYP2	6.033333333	0.666666666	1.5	1.5	1	0
ADA	35.49025274	24.21806433	38.02793152	27.40216202	15.63553457	35.02313035
ADAD1	0	0	0	0	0	0
ADAD2	18	25.78571429	33.78571429	30.64285715	22.07142857	57.5
ADAL	60.74053586	34.55516983	41.81013178	39.16719009	20.22366947	34.39727444
ADAM10	55	10	14	11	7	4
ADAM11	1	5	0	2	1	2
ADAM12	141	6	2	2	3	0
ADAM15	18	6	10	2	2	4
ADAM17	10.69023893	6.27021312	12.12874487	8.954945518	2.720760612	11.05445665
ADAM18	0	0	0	0	0	0
ADAM19	45.66779311	13.98652847	16.97490574	14.09133792	13.12325544	12.57038976
ADAM2	1	0.333333333	0	0	0.5	0
ADAM20	0	0	0	0	0	0
ADAM21	0	0	0	0	0	0
ADAM21P1	0	0	0	0	0	0
ADAM22	2.75	1.6	1	2	0	0
ADAM23	70	47	63	52	44	80
ADAM28	0	0	1	0	0	0
ADAM29	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0
ADAM32	2	1	3	0	0	0
ADAM33	172.4251148	60.39640605	70.02525628	59.37844308	62.77002008	76.18113374
ADAM3A	0	0	0	0	0	0
ADAM5P	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0
ADAM7	2.25	4.833333333	2.791666667	3.458333333	0.5	0.083333333
ADAM8	2	0	1	4	2	2
ADAM9	33	3	4	8	2	2
ADAMDEC1	0	0	0	0	0	0
ADAMTS1	133.4282107	12.90277778	11.8968254	9.365079365	6.976190476	5.726190476
ADAMTS10	31	8	7	4	2	16
ADAMTS12	6	3	2	0	1	3
ADAMTS13	9	4	0	2	2	6
ADAMTS14	2	0	0	1	0	0
ADAMTS15	74	18	23	23	12	15
ADAMTS16	4	40	67	66	48	41
ADAMTS17	0	0	0	0	0	1
ADAMTS18	24.17459151	10.08888889	12.69206349	10.89152047	7.647438672	13.38596491
ADAMTS19	6	23	25	18	6	15
ADAMTS2	3606.312211	91.70145959	64.31138583	35.77884616	32.04384037	31.60786673
ADAMTS20	0	0	0	0	0	0
ADAMTS3	18	9	6	4	2	8
ADAMTS4	86.55047864	35.46050242	34.29590737	22.66142571	20.31305874	30.14766251
ADAMTS5	69.27751323	12.53846154	10.81428572	6	11.53571429	3.17989418
ADAMTS6	14.42839211	4.774542125	7.262500001	1.503734671	3.226010101	8.225856496
ADAMTS7	215.2865617	91.45416576	84.36640947	43.61974241	65.09413922	79.93173021
ADAMTS8	1	1.333333333	1	6	4.333333333	4.333333333
ADAMTS9	764.0943209	243.7829617	304.5455455	214.4154846	243.9760592	270.4475862
ADAMTSL1	11	0	0	0	1	0
ADAMTSL2	0	2.076923077	1.090909091	0.5	0.125	0.083333333
ADAMTSL3	0	6	5	0	1	0
ADAMTSL4	122	15	18	11	7	5
ADAMTSL5	21	1	1	0	0	0.333333333
ADAP1	0	2	0	0	1	2
ADAP2	26.57031485	25.01570403	29.15456279	26.54350105	18.04142739	15.64938825
ADAR	136.6252254	140.4739563	136.1023927	80.6364108	75.90196609	110.7880574
ADARB1	87.46666667	58	55.25	40	26	38
ADARB2	0	2	2	0	0	1
ADAT1	171.3325819	107.5792749	117.0279552	98.17761159	78.62681699	89.1972213
ADAT2	24.12540793	31.85574513	29.44715547	28.95647773	18.09876086	19.95098323
ADAT3	45.58347438	27.14107143	36.51890886	33.9041613	27.3752842	33.21788738
ADC	44.97445692	29.3781827	31.70995936	21.31160903	16.1725978	27.62225522
ADCK1	3	2	1	4	0	0
ADCK2	42	28	27	16	11	17
ADCK4	3	2	6	3	1	3
ADCK5	2	0	0	0	0	0
ADCY1	51.12865514	48.27129762	42.73459156	52.38057315	21.91873791	57.92692078
ADCY10	0	0	0	0	0	0
ADCY2	16.81713548	24.3371803	29.89874055	22.34737763	15.09067599	25.83115306
ADCY3	155	57	40	39	26	51
ADCY4	18.14699376	5.547227179	5.017830263	3.42284889	4.477678749	5.459762786
ADCY5	1	0.333333333	0.333333333	0	0.333333333	0.666666666
ADCY6	187.5583333	20.66666667	28.40757576	14.03448276	12.16666667	31.51067324
ADCY7	8	3	2	0	0	1
ADCY8	38.52282746	32.18066249	39.59933449	23.22142715	19.66187228	21.42623455
ADCY9	55	7	11	5	9	12
ADCYAP1	3.183333333	1.5	0	1	0	0
ADCYAP1R1	0	0	0	0	0	0
ADD1	374.8152172	109.9519391	86.81028816	75.61941248	57.72828811	97.14070104
ADD2	9	58	63	52	33	50
ADD3	197.6	172.375	215	123	82	112
ADH1A	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0
ADH1C	16.8022536	7.980935035	9.67050129	5.12831572	10.3124599	9.980517237
ADH4	17.72523449	15.32113997	25.97267316	33.85523088	9.658333333	20.09980159
ADH5	10243	12178	11028	9075	5181	8164
ADH6	0	0	0	1	0	0
ADH7	2.676190476	1.631818181	2.896480332	1.366666667	0.438596491	1.263492063
ADHFE1	4	0	1	0	0	1
ADI1	1539	155	251	160	82	167
ADIG	0	0	0	0	0	0
ADIPOQ	1.117685518	1.594202899	1.458937198	1.4	1.198067633	1.260869565
ADIPOR1	179.3333333	111.6666667	90	86	53	108
ADIPOR2	62.54949305	62.55882353	52.72380952	34.80714285	18.81709957	47.12380952
ADK	115	88	66	53	19	48
ADM	200	61	55	38	20	12
ADM2	61.94904664	24.07751113	30.88893586	24.9178496	22.60968656	23.77331033
ADNP	201	131	146	83	65	97
ADNP2	11.9	34	26	20	15	24
ADO	133	71	105	70	43	48
ADORA1	4.133333333	1.5	2.9	0.5	1	3
ADORA2A	18.90325406	10.07465353	10.45974572	10.3442402	10.67614943	10.25509356
ADORA2B	19.21666667	2	11.20535714	4	3.570488722	4.354389483
ADORA3	25.90226083	6.649872064	9.914459947	5.869047619	10.94350459	5.167748348
ADPGK	54.625	31	32	33	13	15
ADPRH	70.98739496	39.8611111	43.07857143	29.16349207	34.33333334	21.92857143
ADPRHL1	26.68885189	14.83697109	17.70403603	22.18997023	16.51498715	24.01008095
ADPRHL2	25	12	14	5	6	10
ADRA1A	0	0	0	0	0	0
ADRA1B	3	0	0	1	0.25	0
ADRA1D	55	2	0	2	1	1
ADRA2A	3	3.333333333	3	2.5	1	2.1
ADRA2B	0	0.1	0	0	0	0
ADRA2C	16	23	28	33	19	42
ADRB1	1	4	4	2	1	1
ADRB2	10	3	6	1.333333333	1	2
ADRB3	1	1	2.090909091	1	0	3
ADRBK1	17.40993626	9.232594546	16.22666568	10.62016099	4.183449535	11.46676935
ADRBK2	232.5426156	216.1040223	190.6315387	177.4714364	102.4385491	157.4810001
ADRM1	1702	1021	773	784	442	703
ADSL	98	249	225	155	107	139
ADSS	38.71111111	45.66666667	75.2	40.20512821	36.5	38.83333333
ADSSL1	0	2	1	2	0	0
AEBP1	378.010102	51.32229062	31.90153638	22.30235597	12.71617272	37.6190305
AEBP2	49	49.25	89.08888889	78	26.75757576	45.08
AEN	475.0166667	551.8333333	896	495.8333333	307	629.2575758
AES	3994	1104	1017	830	494	968
AFAP1	167.6666667	22	36	23	13	17
AFAP1AS	7.342996026	7.391246145	8.853661981	4.730404363	4.670856455	11.73170409
AFAP1L1	14.2984127	20.43809524	14.65	11.22857143	12.2	15.08571429
AFAP1L2	11.50838509	12.82221227	10.16435786	5.198484848	4.625	4.952298851
AFARP1	13.71382784	9.410714286	13.25808081	9.191666667	9.68452381	11.45833333
AFF1	55	51.35384615	61	42.2	17	28
AFF2	20.42857143	88.46153846	41.75	36.41578947	17	17
AFF3	153.1558303	14.6	22.11865079	12.61764706	12	12.20555556
AFF4	148	65	65	42	29	49
AFG3L1	19.76572893	14.96626984	16.53953453	15.38888889	13.95238095	14.05555556
AFG3L2	206	248	274	202	129	145.3333333
AFM	0	0	0	0	0	0
AFMID	319.346976	168.1415943	178.7602624	111.359641	107.5058106	159.7724206
AFP	0	1	2	4	3	0
AFTPH	299.3656063	129.8882661	157.9302461	124.3214115	68.63333333	99.29280702
AGA	98	23	41	28	19	23
AGAP1	40.6388889	62.75238095	41.95	32.55	22.73333333	30.12142857
AGAP11	33.67777778	40.88333333	25.48452381	28.23333333	15.38452381	23.23333333
AGAP2	0	2	1	1	0	0
AGAP3	142.2	66.25	65.61666667	41.5	19.83333333	19.61666667
AGAP4	33.88730159	40.27857143	23.32738095	24.91666667	14.56785714	23.02857143
AGAP5	33.88730159	40.47857143	23.52738095	24.91666667	14.56785714	23.02857143
AGAP6	33.76230159	40.11190476	25.18452381	26.41666666	14.425	22.86190476
AGAP7	33.72063492	40.13571429	23.16071429	25.41666667	14.56785714	22.71904762
AGAP8	33.88730159	40.27857143	23.32738095	24.91666667	14.56785714	23.02857143
AGAP9	3.837301588	14.2452381	3.052380952	1.775	1.63452381	2.144047619
AGBL1	0	0	0	0	0	0
AGBL2	10.08770123	11.12084734	12.42827497	8.27275641	5.463528139	9.755555555
AGBL3	0	0	0	0	0	1
AGBL4	0	2	1	1	3	0
AGBL5	451.6135879	422.8679779	563.4978307	377.5025613	247.7933459	446.8659433
AGER	243	368	265	268	150	345
AGFG1	721.3343358	837.0874459	904.3845004	739.2444444	437.4603175	612.0021368
AGFG2	6	2	2	2	1	2
AGGF1	188	94	114	65	49	72
AGK	3	5	14	3	7	4
AGL	94	117	112	73	63	65
AGMAT	19.69708053	13.0267618	8.365908927	7.197246625	10.06284382	13.87929103
AGPAT1	116	68	72	62	32	61
AGPAT2	86.85140313	37.05774853	22.60282954	20.53888889	20.19319967	22.64868742
AGPAT3	106	8	21	16	9	9
AGPAT4	7	9	21	18	4	11
AGPAT5	87.28333333	232.0095238	205.0019231	141.7	93.61111111	150.0666667
AGPAT6	1395.834957	865.7447553	1074.615591	858.2083333	605.653312	721.3216783
AGPAT9	0	2	2	0	1	1
AGPHD1	85.74263645	53.53622244	52.82473262	37.01869748	30.6952381	44.21680672
AGPS	36	66	54	59	35	27
AGR2	0	0	0	0	0	1
AGR3	0	0	0	0	0	0
AGRN	204	144	199	138	68	84
AGRP	82.21085858	57.09848484	67.53333333	40.02777778	42.88888888	36.83333334
AGT	2	0	0	0	0	0
AGTPBP1	33.41666666	49.66666666	54.33333333	50	20	28
AGTR1	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0
AGTRAP	61.5	56.83333333	65.33333333	48.38888889	39.66666666	51
AGXT	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0
AGXT2L1	2.625	6.833333333	1.833333333	3.833333333	4	2
AGXT2L2	40	6	10	4	3	4
AHCTF1	263	357	403	284	187	299
AHCY	81	110	108	76	37	77
AHCYL1	724.8083333	381	433.14	287.1111111	174.5	283.5
AHCYL2	11.11111111	26.13333333	11.53333333	8	7	14.06666667
AHDC1	1084.230194	409.0443418	349.2059311	201.879312	181.2490734	294.4550567
AHI1	194.8248169	89.31302031	135.71211	74.64550988	58.64862638	77.69415584
AHNAK	597	49	35.14285714	22.125	18.58333333	22
AHNAK2	915	155	274	151	71	71
AHR	55.5650104	10.46561355	8.282575758	9.207175177	5.677170869	3.306298277
AHRR	28.72884615	2.013616428	0.688034188	1.314285714	2.267857143	1.384259259
AHSA1	244.1503149	149.4960614	268.9058894	138.6437722	86.25052567	119.4502311
AHSA2	48.42030393	15.47399226	15.37470014	20.40185163	14.11893009	25.83865441
AHSG	5.220358699	1.226636109	4.062463354	2.442156862	2.60385992	0.285714286
AHSP	8	13	29	10	9	52
AICDA	33.15118843	27.36889713	26.18174361	20.48775175	15.98384889	14.87666925
AIDA	515	342	372	192	148	240
AIF1	0	10	8	12	3	11
AIF1L	10.93333333	41.66666667	45	29	24	33
AIFM1	69.88355073	17.80660741	23.7638701	21.26613369	11.28028222	16.6574541
AIFM2	58.12698413	11	12	24.27777778	6.090909091	8.101010101
AIFM3	0	0	1	0	0	0
AIG1	20	7	21	10	9	12
AIM1	9	12	15	12	7	10
AIM1L	1	13	8	8	3	8
AIM2	2	9	7	4	2	6
AIMP1	406	450	442	285	220	298
AIMP2	45.16666667	42.33333333	50.33333333	26.33333333	33	19
AIP	71.26785715	25.51785714	26.61507936	18.675	11.90833333	15.55119048
AIPL1	31.89990106	29.38877504	32.50405818	20.56890768	11.44940549	27.14355147
AIRE	15.33247869	11.05169307	9.015585755	10.36511184	10.36323203	8.87041292
AJAP1	3.125	2.333333333	4.111111111	7	1	2.125
AK1	22.17730627	11.02388984	13.35064198	11.69280193	6.726664022	6.503184899
AK2	475.5	263	300	160	124	150
AK3	222	128	182	118	84	112
AK4	177.75	205.7011904	443.6071428	513.2232919	226.3371849	225.2307692
AK5	63.83822434	20.70869246	29.29063693	12.49363233	8.297925945	16.74056758
AK7	1.333333334	1.942156862	3.058823529	1.266666667	1	3.14973262
AKAP1	35	51	67	66	39	44
AKAP10	5	5	6	4	2	4
AKAP11	56	19	25	21	12	19.125
AKAP12	611.174359	401.4416666	500.7440476	320.125	223.1410256	233.1132479
AKAP13	190	89	87	65	46	44
AKAP14	5	8	5	2	2	6
AKAP17A	76.84722222	62.39285714	61.12619048	57.25	40.85	37.45833333
AKAP2	107.8333333	31	39.41666667	20.16666667	16.5	16.16666667
AKAP3	11	7	12	7	3	15
AKAP4	92.31356806	31.55360931	48.39264354	27.39418501	30.11166277	35.01473256
AKAP5	41.74188943	14.00671831	23.15308292	10.96079374	8.978708792	16.93927417
AKAP6	41.48198471	15.93720834	17.82337673	15.88846154	13.65767705	14.47819997
AKAP7	46.00733995	103.7183025	105.3826394	62.79684066	51.2	72.21038128
AKAP8	58.68662698	67.11307341	58.94489348	50.13492063	35.51433792	33.56016242
AKAP8L	42.62107512	17.94358974	22.72930403	16.49013158	17.1231444	25.38957972
AKAP9	1059	619	739	585	330	470
AKD1	6.0625	5	11.0625	3.125	6	1
AKIRIN1	51.29974747	68.28157202	87.0460084	52.54015152	56.14026791	65.25192586
