Gene	BJ(Fibroblast)	BJ-OKS-iM#2	BJ-OKS-iM#21	BJ-OKS-iG#2	BJ-OKS-iG#5	HUES9
FKBP11	712.9057716	221.0014493	257.1503968	195.8791078	93.70074371	146.9855782
FKBP14	41.36537433	11.28714243	16.39778395	9.827926241	10.65974663	6.786692474
FKBP15	124	46	41.33333333	27	20	20
FKBP1A	717.9542294	348.1259153	299.2919083	221.4989151	162.3408744	196.4943602
FKBP1AP1	23.52351648	19.59736486	19.00109169	10.42441877	10.12445892	16.67191877
FKBP1B	43.83293651	67.75555555	83.68907563	51.56666667	37.33333333	78.66753247
FKBP2	4598.690498	1312.045238	1845.571429	1421.301299	983.6785714	1539.557143
FKBP3	694	845	978	889	489	732
FKBP4	151	423	387.5	243.5	191.3333333	294
FKBP5	33.94285653	57.96576797	82.89234655	43.12210087	23.88525641	46.63794564
FKBP6	0	0	0	0	0	0
FKBP7	105.4943388	4.522160239	8.711449841	7.083189249	3.278835979	9.188596491
FKBP8	403.9583334	246.8447802	234.2828754	169.3653846	148	228.3269231
FKBP9	992.1650793	33.99285715	37.1	23.6	15.7	16.53333333
FKBP9L	3969.404699	141.190232	139.4987862	93.6969697	63.22903226	66.94782608
FKBPL	22.54166667	18	16	5	8	13
FKRP	31.18871303	11.98630717	9.57048507	26.11064099	8.729437229	11.81618382
FKSG29	0	0	0	0	0	0
FKSG43	0.133333333	0	0	0.642857143	0.111111111	1.2
FKSG83	0.285714286	0.742857143	0.142857143	1.958333333	0.866666667	0
FKTN	151.7244652	54.43928572	50.0701648	39.09382562	22.16759711	26.49169719
FLAD1	65.03223529	48.37243244	44.44065451	38.15487662	19.33791798	26.29065606
FLCN	385.4755434	94.17911653	109.8535908	91.9818186	54.39801419	51.2461919
FLG	0	0	0	0	0	0
FLG2	16.2155936	7.5791675	7.74703577	4.144922505	3.731769101	6.40368193
FLI1	21.08333333	10.66666667	16.39285714	10.35	5.436111111	0.525
FLII	285.125	164.225	119.0434783	102.875	63.375	101.9125259
FLJ10038	17.09129321	17.99481758	10.74761756	10.49026894	5.828364179	19.84499341
FLJ10661	0.2	2.75	4.558823529	2	1.611111111	1.5
FLJ11235	0	0	1	0	0	0
FLJ12334	0	0	1	1	0	0
FLJ12825	4.25	1	1	0	1	3
FLJ13197	0.525	1.125	0.458333333	0.125	1	1.486111111
FLJ13224	0	0	0	1	0	0
FLJ13439	0	0	0	0	0	0
FLJ14107	2.999465241	0.045454545	5.222222222	2.853409091	1.583333333	1.549242424
FLJ16341	0	0	0	1.5	0	0
