GeneID,GSM8253507,GSM8253508,GSM8253510,GSM8253512,GSM8253514,GSM8253515,GSM8253516,GSM8253517,GSM8253518
101927588,0,0.04504,0.04889,0,0,0,0,0,0
107986973,0,0.4314,0.01615,0.1693,0,0.1423,0.6962,0,0.121
157378,3.645,8.663,5.208,4.998,3.339,5.87,7.878,3.691,8.988
55039,2.423,3.405,2.707,4.132,2.806,4,3.571,2.655,2.954
101927612,0.1975,0.1908,0.2663,0.2022,0.1394,0.1467,0.2513,0.133,0.2164
11236,9.912,9.844,9.791,11.44,9.421,9.219,9.36,9.375,10.67
83940,8.498,9.408,9.48,12.13,9.287,9.133,12.77,7.284,14.8
102466200,0,0,0,0,0,0,0,0,0
4715,60.49,78.14,59.56,92.48,61.09,68.87,120.6,52.04,114.1
9788,0.07528,0.05454,0.0592,0.1877,0.02615,0.1826,0.05028,0.05379,0.2392
105375740,0.2051,0.09242,0.1115,0.2125,0.1182,0.1351,0.3059,0.1307,0.3699
105375741,0,0,0,0.008994,0,0,0,0,0
100616255,0,0,0,0,0,0,0,0,0
100616221,0,0,0,0,0,0,0,0,0
105375743,0,0,0,0,0.0215,0,0,0,0
105375742,0,0,0,0,0,0,0,0,0
157381,0,0,0,0,0,0,0,0,0.008591
137209,0.3888,0.1695,0.4293,0,0.5162,0,0.1374,0.4007,0.197
105375744,0.07601,0,0,0,0,0,0,0,0
6713,18.99,29.81,16.53,41.06,8.22,34.25,21.06,10.39,21.37
9897,11.35,11.31,13.31,12.96,12.1,14.49,8.764,12.19,10.37
286053,2.956,3.448,2.404,3.762,2.869,3.212,3.746,2.617,4.672
10221,0.8362,2.955,1.181,5.566,0.8415,5.564,2.752,0.6323,3.729
105375746,0,0,0,0,0,0,0,0,0
105375747,0,0,0,0,0,0,0,0,0
105375748,0,0,0,0,0,0,0,0,0
107986974,0,0,0,0,0,0,0,0,0
100130231,0,0,0,0,0,0,0,0,0
101927657,0,0,0,0,0,0,0,0,0
105375749,0,0,0,0,0,0,0,0,0
105375750,0,0,0,0,0,0,0,0,0
157638,0.3997,1.888,0.2497,0.3273,0.3677,0.722,2.658,0.06708,1.186
105375751,0.01382,0.07647,0,0.01217,0.01504,0.01407,0.08342,0,0.01367
105375753,0,0,0,0,0,0,0,0,0
100750225,0,0.02657,0,0,0,0,0,0,0
103164619,0,0,0.04995,0,0,0,0,0,0
101867536,0.1833,0.1643,0.1287,0.2174,0.1729,0.1567,0.1947,0.1376,0.2175
105375752,0,0,0,0,0,0,0,0,0
103021165,0,0,0,0,0,0,0,0,0
100507056,0,0,0,0,0,0,0,0,0
103021164,0,0.09047,0,0,0.05785,0,0.06416,0,0
727677,0.03218,0.1507,0.1041,0.2977,0.05255,0.2948,0.2525,0.08715,0.03183
101805488,0,0,0,0,0.01932,0,0,0,0
5462,0.04486,0.1146,0,0.01976,0,0.09132,0.1083,0,0
105375754,0,0,0,0,0,0.009966,0,0,0
100270680,0.06136,0.03482,0.0189,0.03603,0.08905,0.02082,0.02469,0.04431,0.06069
4609,12,12.14,10.94,8.856,9.003,6.387,10.23,10.69,13.07
5820,3.846,3.451,4.886,3.967,5.704,5.138,7.971,3.385,9.985
100302185,3.248,5.53,5.573,5.314,6.061,8.973,7.843,2.513,14.23
641384,0.01436,0,0,0,0.03126,0.02923,0.03467,0.03111,0.05681
100302161,0,0,0,0,0,0,0,0,0
100302170,0,0,0,0.9283,4.589,1.073,0.6361,0,2.085
100302175,0,0,0,0,0,0,0,0,0
100302281,0,0,0,0,0,0,1.028,0,0
101927774,0,0.09526,0.007385,0.007042,0.008702,0.008136,0.1448,0,0.07116
106144608,0,0,0,0,0,0,0,0,0
728724,0,0,0,0,0,0,0,0,0
137196,0,0,0,0,0,0,0,0,0
100500839,0,0,0,0,0,0,0,0,0
56169,0.01157,0.03446,0.01603,0.04586,0,0.01766,0.06284,0.01253,0.00572
51571,3.562,8.32,3.673,8.42,4.442,7.705,7.754,3.695,9.083
100847051,0,0,0,0,0,0,0,0,0
50807,32.19,25.75,24.79,37.27,27.33,36.53,23.38,24.27,27.16
100507117,0.01531,0.02606,0.04243,0,0.03332,0,0,0.01658,0.01514
29065,0,0,0,0,0,0,0,0,0
105375758,0,0,0,0,0,0,0,0,0
114,0.02362,0.0201,0,0.0104,0,0.00601,0.02139,0,0
105375762,0,0,0,0,0,0.02856,0,0,0
105375761,0,0.009533,0,0,0,0,0,0,0
105375760,0,0,0,0.02502,0,0.01445,0,0,0.01405
105375759,0,0,0,0,0,0,0,0,0
105375763,0,0,0,0,0,0,0,0,0
107986976,0,0.006003,0.01303,0,0.007677,0.01436,0.04257,0.00764,0
23167,14.56,9.546,14.96,12.25,15.8,14.1,7.157,18.64,8.862
729330,0,0,0,0,0,0,0,0,0.0172
10086,0,0,0,0,0,0,0,0,0
3786,0.0911,0.1211,0.309,0.1187,0.1671,0.1423,0.1898,0.1068,0.002469
107986977,0,0,0,0,0,0,0.01891,0,0
105375765,0,0,0,0,0,0,0,0,0
93668,0,0,0,0,0,0,0,0,0
23639,0.3576,0.02768,0.3905,0.01432,0.1888,0.005515,0.05888,0.2759,0.01072
105375767,0,0,0,0,0.08882,0,0,0,0
137835,0.1965,0.3731,0.391,0.2263,0.04935,0.06153,0.1825,0.3111,0.05979
51105,5.965,5.728,6.153,6.765,6.202,7.166,5.401,6.017,7.181
7038,0.09731,0.07836,0.07047,0.05792,0.09162,0.0696,0.09208,0.05698,0.005203
105375768,0,0,0,0,0,0,0.01643,0,0
6503,0.02591,0.007351,0,0.3271,0,0.2197,0,0.009355,0.008541
102466865,0,0,0,0,0,0,0,0,0
100302522,0,0,0,0,0,0,0.01336,0,0
105375769,0,0,0,0,0,0,0,0,0
8840,15.87,0.4504,5.383,5.079,6.585,3.209,0.2437,10.75,0.1834
102723635,2.568,0.05829,1.107,0.9651,1.23,0.5924,0.04134,1.558,0.03386
10397,32.48,8.73,36.92,16.69,30.75,20.91,7.218,28.83,6.305
105375771,0,0,0,0,0,0,0,0,0
105375772,0,0,0,0.07524,0,0,0,0,0
6482,4.699,6.87,4.36,2.97,4.183,2.987,4.951,5.377,4.792
105375773,0,0.1268,0,0,0,0,0,0,0
101927798,0,0,0,0,0,0,0,0,0
101927822,0,0,0,0,0,0,0,0,0
57623,0.3971,0.3523,0.309,0.3179,0.3201,0.4865,0.3163,0.3789,0.3542
594840,0.5959,0.4509,0.3671,0.525,0.2523,0.4044,0.3597,0.4304,0.5894
102723694,0.2089,0.1703,0.2501,0.2436,0.2594,0.1377,0.3019,0.1848,0.3812
407030,0,0,0,0,0,0,0,0,0
407033,0,0,0,0,0,0,0,0,0
552853,0,0,0,0.1055,0,0.06097,0,0,0.05924
101927845,0,0,0,0,0,0,0,0,0
286094,0,0,0,0,0,0,0,0,0
101927872,0.1215,0.03694,0.09622,0.1147,0.137,0.106,0.0262,0.09402,0.1373
10656,3.28,0.7692,2.547,2.549,2.761,2.048,0.7517,3.43,3.44
107986978,0,0,0,0,0,0,0,0,0
107986979,0,0,0,0,0,0,0,0,0
105375775,0,0,0,0,0,0,0,0,0
107986980,0.3082,0,0.08137,0,0,0,0,0,0.2178
107986905,0,0,0,0,0,0,0,0,0
101927915,0,0,0,0,0,0,0,0,0
105375776,0,0,0,0,0,0,0,0,0
401478,0,0,0,0,0,0,0,0,0
51059,0,0,0,0,0,0,0,0,0
169044,0.0501,0,0,0,0.009089,0,0,0.01206,0
51305,0.01155,0,0,0,0,0,0.006971,0,0
105375777,0,0,0,0,0,0,0,0,0
83696,1.041,1.026,1.102,0.9357,0.847,1.26,0.8784,1.041,0.8825
107986981,0,0,0,0,0.005689,0.01596,0.03155,0,0.005169
105375781,0,0,0,0,0,0,0,0,0.008962
359809,0.07714,0.0469,0.06618,0.02427,0.02999,0.07852,0.05987,0.02984,0.0545
105375779,0,0,0,0,0,0,0,0.01069,0.009764
105375782,0,0,0,0.07869,0,0,0.03595,0,0.02945
54108,9.979,9.453,8.659,12.47,8.396,11.18,7.713,10.78,11.24
27161,2.308,2.512,2.085,2.73,2.155,2.697,2.376,2.08,2.93
107986982,0,0,0.0455,0,0.007658,0.01432,0.01699,0,0.006958
5747,9.08,15.2,8.805,15.45,8.482,15.69,13.1,8.582,15.34
442893,0,0,0,0,0,0,0,0,0
105375783,0,0.07888,0,0,0,0,0.1119,0,0
105375784,0,0,0,0,0,0,0.02653,0.0119,0.03261
101927963,0.4814,0.1941,0.6437,0.3794,0.9515,0.2966,0.3059,0.3431,0.3634
22898,0.9041,2.503,1.647,3.739,2.071,3.721,3.475,1.473,6.321
105375785,0.1715,0.4605,0.3535,0.7323,0.4309,0.5842,0.693,0.3431,1.103
57210,0.3489,0.5657,0.4406,0.4376,0.4807,0.5259,0.4665,0.4377,0.4651
105375787,0.2137,0.2728,0.0987,0.1412,0.2326,0.3806,0.3224,0.1736,0.4755
731779,0,0,0,0,0,0,0,0,0
2843,0,0.05076,0.03673,0.3677,0,0.3035,0.12,0,0.0983
101928037,0,0,0,0,0,0,0,0,0
105375790,0.01223,0,0.0113,0,0.01332,0,0,0.01325,0
11156,0.2778,0.2882,0.3128,0.5889,0.3024,0.2828,0.3668,0.4044,0.2232
389690,0,0,0,0,0,0,0,0,0
107983985,0,0,0,0,0,0,0,0,0
105375789,0,0,0,0,0,0,0,0,0
105375791,0,0,0,0,0,0,0,0,0
100302147,0,0,0,0,0,0,0,0,0
100616268,0,0,0,0,0,0,0,0,0
105375792,0,0,0,0,0,0,0,0.04057,0
619434,0,0,0,0,0,0,0,0,0
203062,0.976,0.3625,0.7426,0.373,1.247,0.4334,0.6845,0.6789,0.6199
107986983,0,0,0,0,0,0,0,0,0
575,0.1734,0.07592,0.02289,0.06111,0.03236,0.0353,0.1376,0,0
23237,0.2635,0.296,0.4187,0.08355,0.01147,0.0429,0.3562,0.07991,0.469
101928087,0,0,0,0,0,0,0,0,0
8629,3.112,2.685,2.379,2.518,2.063,2.058,3.033,1.854,3.112
8000,0.1487,1.456,0.9162,0.1529,0.2159,0.05047,1.826,0.1074,0.3433
54742,0.5855,1.76,1.012,0.208,0.4317,0.1346,1.437,0.6445,2.886
100288181,0.1695,0.3678,0.1971,0.053,0.0893,0.05567,0.3236,0.1303,0.6437
51337,1.976,4.09,2.272,1.434,2.126,1.588,2.901,2.286,9.194
