GENE_ID,Score
TC01001474.hg.1,0.023788241909531653
TC22000047.hg.1,0.023774619297379746
TC21000796.hg.1,0.023758928145022503
TC02001692.hg.1,0.023758452104436528
TC20000766.hg.1,0.02375815883371795
TC12002390.hg.1,0.023745738008381742
TC11002598.hg.1,0.02374425078516637
TC02003846.hg.1,0.023731033945810255
TC05001279.hg.1,0.023721180933578848
TC19000429.hg.1,0.023720788983845158
TC06000636.hg.1,0.023712595979934623
TC17000179.hg.1,0.023706505808817297
TC05003232.hg.1,0.02370284355139681
TC22000549.hg.1,0.023699510633549453
TC18000685.hg.1,0.023698834411405627
TC05001102.hg.1,0.023675392981761027
TC12000257.hg.1,0.023666005740998506
19373635,0.023664222631211786
TC21000185.hg.1,0.023664191638076718
TC05001812.hg.1,0.023660947695392794
