GENE_ID,Score
100302280,0.06597834703531516
100189029,0.06550420976259098
63931,0.0654521288372619
11335,0.06500939840080636
730202,0.06498343679869112
109623476,0.06489486139167236
9423,0.06474226136385253
283579,0.06465318468595344
54810,0.06457095759001669
284757,0.06450195818427498
102465498,0.06446791339677488
201725,0.06442092442587848
440288,0.06400406398506478
113219454,0.06389630468196665
101448202,0.06385666924886177
89839,0.06384349012540592
102465504,0.06381838543818227
163227,0.06368030553325857
406934,0.0636612241976672
101929494,0.063654814340257
